geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,cc,cc2,admin1,admin2,admin3,admin4,population,dem,timezone,moddate
4046389,Bazemores Mill Lake,Bazemores Mill Lake,"Bazemore Mill Lake,Bazemores Mill Lake",31.02669,-85.20014,H,LK,US,,AL,069,,,0,38,44,America/Chicago,2011-12-11
4046390,Martinez Lake Dam,Martinez Lake Dam,,27.39697,-99.39198,S,DAM,US,,TX,479,,,0,160,164,America/Chicago,2006-01-15
4046391,Bealls Pond,Bealls Pond,"Bailey Fish Pond,Bealls Pond",31.61564,-86.25271,H,RSV,US,,AL,041,,,0,101,115,America/Chicago,2011-12-11
4046392,Matilda,Matilda,,28.95943,-96.67942,P,PPL,US,,TX,239,,,0,20,24,America/Chicago,2006-01-15
4046393,Beals Bar,Beals Bar,,33.01735,-87.69473,T,BAR,US,,AL,125,,,0,29,35,America/Chicago,2006-01-15
4046394,McLain Cemetery,McLain Cemetery,,31.22963,-95.04771,S,CMTY,US,,TX,455,,,0,102,108,America/Chicago,2006-01-15
4046395,Beals Landing,Beals Landing,,33.02596,-87.65834,S,,US,,AL,125,,,0,34,39,America/Chicago,2010-02-14
4046396,Meaders,Meaders,,32.88818,-96.8125,P,PPLX,US,,TX,113,,,0,176,181,America/Chicago,2025-03-12
4046397,Beam Branch,Beam Branch,,32.99484,-86.85193,H,STM,US,,AL,021,,,0,135,142,America/Chicago,2010-02-14
4046398,Melo,Melo,,28.62444,-97.42027,P,PPL,US,,TX,175,,,0,58,59,America/Chicago,2010-02-18
4046399,Beale Cemetery,Beale Cemetery,,33.07873,-87.69557,S,CMTY,US,,AL,125,,,0,89,90,America/Chicago,2010-02-14
4046400,Meusebach Cemetery,Meusebach Cemetery,,30.1977,-98.87032,S,CMTY,US,,TX,171,,,0,520,521,America/Chicago,2006-01-15
4046401,Bean Bridge,Bean Bridge,,34.59565,-87.51475,S,BDG,US,,AL,079,,,0,167,175,America/Chicago,2010-02-14
4046402,Midway,Midway,,33.08929,-94.58215,P,PPL,US,,TX,067,,,0,114,117,America/Chicago,2006-01-15
4046403,Bean Cemetery,Bean Cemetery,"Bean Cemetery,Beene Cemetery",34.62703,-85.60441,S,CMTY,US,,AL,049,,,0,291,289,America/Chicago,2010-09-05
